route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
9516,c_5988_b_6309_d_31,t_540191_b_6309_tn_0,,Linha Boemios,1,12507,p_176719,,,,,,,,,,
9516,c_5988_b_6309_d_31,t_540194_b_6309_tn_0,,Linha Boemios,1,12507,p_176719,,,,,,,,,,
9521,c_5988_b_6309_d_31,t_225435_b_6309_tn_0,,,,12510,p_176722,,,,,,,,,,
9522,c_5988_b_6309_d_31,t_247535_b_6309_tn_0,,,,12510,p_176723,,,,,,,,,,
9523,c_5988_b_6309_d_31,t_540277_b_6309_tn_0,,,,12517,p_176725,,,,,,,,,,
9523,c_5988_b_6309_d_31,t_225436_b_6309_tn_0,,,,12510,p_176724,,,,,,,,,,
9524,c_5988_b_6309_d_31,t_540254_b_6309_tn_0,,Praça,,12510,p_176732,,,,,,,,,,
9525,c_5988_b_6309_d_31,t_247685_b_6309_tn_0,,Monte Verde,1,12530,p_176729,,,,,,,,,,
9525,c_5988_b_6309_d_31,t_214852_b_6309_tn_0,,,1,12510,p_176626,,,,,,,,,,
9525,c_5988_b_6309_d_31,t_236239_b_6309_tn_0,,,1,12522,p_177876,,,,,,,,,,
9525,c_5988_b_6309_d_31,t_241745_b_6309_tn_0,,,1,12512,p_176626,,,,,,,,,,
9525,c_5988_b_6309_d_31,t_247679_b_6309_tn_0,,Monte Verde,1,12519,p_176730,,,,,,,,,,
9525,c_5988_b_6309_d_31,t_247680_b_6309_tn_0,,Monte Verde,1,12519,p_176730,,,,,,,,,,
9525,c_5988_b_6309_d_31,t_247683_b_6309_tn_0,,Monte Verde,1,12526,p_176727,,,,,,,,,,
9526,c_5988_b_6309_d_79,t_247536_b_6309_tn_0,,,0,12510,p_176731,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_540217_b_6309_tn_0,,Industrial,0,12513,p_176736,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_202006_b_6309_tn_0,,,0,12528,p_176746,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_202011_b_6309_tn_0,,,0,12518,p_176742,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_208154_b_6309_tn_0,,Industrial,0,12518,p_176741,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_211530_b_6309_tn_0,,,0,12513,p_176737,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_225439_b_6309_tn_0,,,0,12530,p_176749,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_225719_b_6309_tn_0,,Industrial,0,12531,p_176735,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_225864_b_6309_tn_0,,,0,12520,p_176743,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_225995_b_6309_tn_0,,,0,12529,p_176747,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_235736_b_6309_tn_0,,,0,12529,p_176748,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_535747_b_6309_tn_0,,Industrial,0,12521,p_177220,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_535748_b_6309_tn_0,,Industrial,0,12522,p_177220,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_535749_b_6309_tn_0,,Industrial,0,12524,p_177220,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_535750_b_6309_tn_0,,Industrial,0,12524,p_177220,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_537806_b_6309_tn_0,,Industrial,0,12516,p_176739,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_537831_b_6309_tn_0,,Industrial,0,12528,p_176745,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_539730_b_6309_tn_0,,Industrial,0,12532,p_176750,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_539973_b_6309_tn_0,,Industrial,0,12515,p_176738,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_540251_b_6309_tn_0,,Industrial,0,12532,p_176751,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_540255_b_6309_tn_0,,Industrial,0,12510,p_176734,,,,,,,,,,
9527,c_5988_b_6309_d_31,t_540256_b_6309_tn_0,,Industrial,0,12521,p_176744,,,,,,,,,,
9529,c_5988_b_6309_d_31,t_535786_b_6309_tn_0,,Caravaggio,0,12511,p_176753,,,,,,,,,,
9530,c_5988_b_6309_d_31,t_535801_b_6309_tn_0,,Caravaggio/Belvedere to Praça,1,12511,p_176754,,,,,,,,,,
9531,c_5988_b_6309_d_31,t_540157_b_6309_tn_0,,Alvorada,0,12511,p_176756,,,,,,,,,,
9531,c_5988_b_6309_d_31,t_202024_b_6309_tn_0,,,0,12517,p_176757,,,,,,,,,,
9531,c_5988_b_6309_d_31,t_290996_b_6309_tn_0,,Alvorada,0,12527,p_176758,,,,,,,,,,
9532,c_5988_b_6309_d_31,t_540158_b_6309_tn_0,,Praça,1,12511,p_176759,,,,,,,,,,
