stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2430006,,,Estrada para Garibaldi ou Estrada Morro do Macaco VRS-313,,-29.245892,-51.460175,,,0,,America/Sao_Paulo,,,0
2430007,,,Estrada para Garibaldi ou Estrada Morro do Macaco VRS-313,,-29.246362,-51.451767,,,0,,America/Sao_Paulo,,,0
2430008,,,Estrada para Garibaldi ou Estrada Morro do Macaco VRS-313,,-29.24753902,-51.44579887,,,0,,America/Sao_Paulo,,,0
2430009,,,Estrada para Garibaldi ou Estrada Morro do Macaco VRS-313,,-29.240842731147,-51.430016596668,,,0,,America/Sao_Paulo,,,0
2430010,,,Estrada para Garibaldi ou Estrada Morro do Macaco VRS-313,,-29.24193158,-51.42609,,,0,,America/Sao_Paulo,,,0
2430011,,,Estrada para Garibaldi ou Estrada Morro do Macaco VRS-313,,-29.24008,-51.412223,,,0,,America/Sao_Paulo,,,0
2430012,,,Rua que vai para a Estrada para Garibaldi ou Estrada Morro dos Macacos,,-29.238983,-51.479226,,,0,,America/Sao_Paulo,,,0
2430013,,,stop,,-29.23360175,-51.46484524,,,0,,America/Sao_Paulo,,,0
2430014,,,stop,,-29.23468544,-51.46189213,,,0,,America/Sao_Paulo,,,0
2430015,,,stop,,-29.246197565715,-51.451661634638,,,0,,America/Sao_Paulo,,,0
2430016,,,stop,,-29.24798133,-51.44539922,,,0,,America/Sao_Paulo,,,0
2430017,,,stop,,-29.24136754,-51.41633481,,,0,,America/Sao_Paulo,,,0
2430018,,,Rua Aurora Argentina Dalla Riva Tartarotti com Rua Luiz Zanfelice,,-29.248657,-51.363256,,,0,,America/Sao_Paulo,,,0
2430019,,,Rua Aurora Argentina Dalla Riva Tartarotti entre a rua Moacir J Bassoto  e Josué Valandro,,-29.24862,-51.361363,,,0,,America/Sao_Paulo,,,0
2430021,,,Rua Luis Zanfelice com Rua Orlando V.  Varaschini,,-29.249802,-51.362834,,,0,,America/Sao_Paulo,,,0
2430022,,,Rua Vicente R. Farinon,,-29.249146,-51.364239,,,0,,America/Sao_Paulo,,,0
2430023,,,Rua Antônio F. Pedó,,-29.24761976,-51.35872632,,,0,,America/Sao_Paulo,,,0
2430024,,,Rua Antônio F. Pedó com Lucindo Lotti,,-29.24615942,-51.35878667,,,0,,America/Sao_Paulo,,,0
